2015-04-04T14:30:00;Cirque Eloize: Cirkopolis;Twelve acrobats and multidisciplinary artists present an uninterrupted stream of acrobatics, music, images and drawings accompanied by an original musical score and video projections.;http://www.cirque-eloize.com/en/home
2015-04-27T19:00:00;Marc Almond;The former Soft Cell perv pixie turned torch song crooner and old school cabaret interpreter revisits his 30-year career.;http://www.marcalmond.co.uk
2015-05-08T07:30:00;Paper Aeroplanes;Folky indie pop from Wales.;http://www.paperaeroplanesmusic.com
2015-05-28T19:00:00;Eddi Reader;The popular folk pop chanteuse, known for her work with Fairground Attraction and often called upon to add her voice to other people's records tours her latest album Vagabond.;http://www.eddireader.co.uk
2015-04-22T20:30:00;Andrew Lawrence: Reasons to Kill Yourself;Vitriolic humour from the former double Edinburgh Comedy Award nominee.;http://www.andrewlawrencecomedy.co.uk
2015-04-16T19:00:00;The Skints;Reggae and dub four-piece.;http://www.facebook.com/theskints
2015-06-06T19:30:00;That'll Be the Day;Step back in time with a brand new edition of the popular touring show, and hear rock'n'roll hits from the 50s, 60s and 70s.;http://www.thatllbetheday.com
2015-11-19T19:30:00;The Blockheads;Ian Dury's redoubtable band return to pay tribute to their late, great frontman.;http://www.theblockheads.com
2015-04-29T20:00:00;Tannahill Weavers;The Tannahill Weavers' arrangements blend the beauty of the traditional melodies with the power of modern rhythms.;http://www.tannahillweavers.com/
2015-04-03T20:00:00;Gretchen Peters;Americana from the Nashville singer-songwriter.;http://www.gretchenpeters.com/
2015-10-24T19:30:00;Richard Alston Dance Company;The pre-eminent dance company celebrate their 20th anniversary with latest piece, Burning. The Dante Sonata of Franz Liszt is played live onstage by Amit Yahav, a young pianist rapidly making an international name.;http://www.richardalstondance.com/
2015-05-25T19:00:00;Brandon Flowers;The Killers frontman tours his indie solo sounds.;http://www.brandonflowersmusic.com
2015-08-13T20:45:00;Luisa Omielan: Am I Right Ladies?;The comedian with a follow-up to her What Would Beyonce Do? show.;http://www.iloveluisa.com
2015-06-12T19:00:00;Gemma Hayes;Return of one time Mercury Award nominee singer-songwriter Gemma Hayes.;http://gemmahayes.com
2015-06-04T19:30:00;Roy Chubby Brown;Blue comedy from man branded 'too rude for television'. Never mind the comedy, that patchwork jacket is hardly fit for public consumption.;http://www.chubbybrown.biz/
2015-04-06T19:00:00;Lotte Mullan;Country gal from Suffolk with soul and folk leanings.;http://www.lottemullan.com
2015-06-05T19:00:00;Conan;Doom metal trio from Liverpool. ;http://en-gb.facebook.com/conandoom
2015-05-22T19:00:00;The Correspondents;Eccentric experimental duo, MC Mr Bruce and DJ/producer Mr Chuckles, mixing vintage sounds, electro, swing and drum &amp bass.;http://www.thecorrespondents.co.uk
2016-06-10T19:30:00;RSNO: Classic FM Hall of Fame;The orchestra presents favourites from the Classic FM Hall of Fame, so don't expect the unexpected, but you can be sure of top-class musicianship.;http://www.rsno.org.uk/
2015-12-20T15:00:00;The RSNO Christmas Concert: The Snowman;A family-friendly concert of carols and seasonal tunes, including the now annual screening of Dianne Jackson's 1982 film of Raymond Briggs' The Snowman with live musical accompaniment, because nothing spells 'Christmas' like a magical fable about the transience of life. Christopher Bell conducts.;http://www.rsno.org.uk
2015-05-17T12:00:00;Big Big Sing;Big Big Sing is a UK-wide singing project that aims to inspire thousands of people through singing. Join a choir of hundreds for an evening of song, including workshops with inspirational choirmasters. No experience needed.;http://www.bigbigsing.org
2016-02-05T19:30:00;RSNO: The Music of John Williams;Some classical fans may flare their nostrils at the idea of a concert devoted to the music of the guy who wrote the score for E.T., but from the brutal simplicity of the two-note 'shark theme' in Jaws to the sinister music-box tinkle of 'Hedwig's Theme', the unifying musical motif in the Harry Potter films, Williams always seems to get it just right. Richard Kaufman conducts music from the above, as well as Williams' classic scores for Star Wars and Raiders of the Lost Ark. Any chance of Close Encounters too?;http://www.rsno.org.uk
2015-06-14T19:00:00;The Strypes;Teen Irish four-piece delving back to the 60s beat groups for inspiration.;http://www.thestrypes.com
2016-05-20T19:30:00;RSNO: Oundjian conducts Shostakovich Eight;Shostakovich's monumentally bleak Symphony No 8 so failed to hit the appropriate note of mindless optimism that was expected of WW II-era Soviet art that the Soviet authorities rather desperately subtitled it 'the Stalingrad Symphony' and claimed it was a memorial to heroic dead this failed to convince even them, and it ended up being effectively banned. One of those who criticised it was Prokofiev, whose Piano Concerto No 2 is performed here by Nikolai Lugansky. Peter Oundjian conducts.;http://www.rsno.org.uk/
2016-03-18T19:30:00;RSNO: Oundjian and Benedetti;Nicola Benedetti is front and centre for Szymanowski's last major work, the Violin Concerto No 2, which pits lively folk rhythms against modernist orchestral timbres. There's the Scottish premiere of James MacMillan's Little Mass, performed by the RSNO Junior Chorus, and finally there's Berlioz's crazy-awesome Symphonie fantastique. Peter Oundjian conducts.;http://www.rsno.org.uk/
2016-02-19T19:30:00;RSNO: Oundjian conducts The Sea;In a foam-flecked programme of sea-spray-drenched maritimeness, Peter Oundjian conducts two very different works: Debussy's shimmering La Mer and Vaughan Wililams' epic A Sea Symphony, featuring soprano Katherine Broderick and baritone Benedict Nelson. ;http://www.rsno.org.uk/
2016-02-12T19:30:00;RSNO: Rachmaninov's Second Piano Concerto;Rachmaninov's Piano Concerto No 2 was the first of its composer's pieces to be warmly received, and it helped pull Rachmaninov out of a three-year depression and creative block here soloist Boris Giltburg seeks to recreate the magic. There's also Mahler's Adagietto, Tchaikovsky's Capriccio Italien, and Richard Strauss's 'Suite' from Die Rosenkavalier. Jean-Claude Picard conducts.;http://www.rsno.org.uk/
2015-11-13T19:30:00;RSNO: Brahms's Violin Concerto;Brahms wrote his exhilarating Violin Concerto in the Alps and it's paired here with the most popular piece by another mountain-loving composer, Webern's Langsamer Satz, and Mozart's Symphony No 41. Peter Oundjian conducts, and the guest soloist is the young Norwegian virtuoso Vilde Frang.;http://www.rsno.org.uk/
2015-11-06T19:30:00;RSNO: Romeo and Juliet;Tchaikovsky's Romeo and Juliet is famous for its swoony love theme, ironically quoted in TV shows from Columbo to Spongebob, but it's just part of the overall fabric of this romantic masterpiece. There's also Khachaturian's Piano Concerto, featuring the welcome return of solist Xiayin Wang, and Prokofiev's Suite from Romeo and Juliet for those who haven't had enough star-crossed love in one evening. Peter Oundjian conducts.;http://www.rsno.org.uk/
2015-10-09T19:30:00;RSNO: Oundjian conducts Tchaikovsky Five;It's a swirling wellspring of emotions in this concert: Tchaikovsky's romantic Symphony No 5 is accompanied by Brett Dean's dark Viola Concerto, featuring the composer himself raising the curtain is Borodin's 'Overture' to Prince Igor. Peter Oundjian conducts.;http://www.rsno.org.uk/
2015-10-02T19:30:00;RSNO: Mahler's Resurrection;There's only one item on the bill for the first concert of the RSNO's 2015/16 season, but you wouldn't want anything else after the shattering experience of a good performance of Mahler's Symphony No 2, an epic journey of death and rebirth. Featured soloists are Valentina Farcas (soprano) and Sarah Connolly (mezzo), with the RSNO Chorus. Peter Oundjian conducts.;http://www.rsno.org.uk/
2016-05-12T19:30:00;Scottish Chamber Orchestra: Beethoven's Eroica;Mussorgsky's Khovantchina Overture raises the curtain on Sibelius' Violin Concerto, with the multi-talented Albanian virtuoso Tedi Papavrami (he's also an actor and translator). The season closes on Beethoven's whopping Symphony No 3 'Eroica', in which a new world can be heard coming into view. Emmanuel Krivine conducts.;http://www.sco.org.uk
2016-05-07T19:30:00;Scottish Chamber Orchestra: Mozart Piano Concerto 20;The 'Olympie' Overture by Joseph Martin Kraus, who's been called the 'Swedish Mozart', is followed by Mozart's Piano Concerto No 20 featuring the young British-Taiwanese virtuoso Kit Armstrong then there's the 'Intermezzo' from Richard Strauss's Capriccio and finally, Beethoven's spirited Symphony No 1. Clemens Schuldt conducts.;http://www.sco.org.uk
2016-04-28T19:30:00;Scottish Chamber Orchestra: Bach Magnificat;An evening of music by Bach and his distinguished fanboy, Felix Mendelssohn. The 'Overture' to Bach's Suite No 3 is followed by Mendelssohn's Symphony No 3 and Verleih uns Frieden, and to finish the SCO Chorus and director Gregory Batsleer celebrate its 25th anniversary with Bach's rousing Magnificat. Richard Egarr conducts, with Mhairi Lawson (soprano), Daniela Lehner (mezzo- soprano), Andrew Tortise (tenor) and Peter Harvey (baritone).;http://www.sco.org.uk
2016-04-07T19:30:00;Scottish Chamber Orchestra: Beethoven Symphony No 5;New Zealand composer Brett Dean's Testament is a tribute to Beethoven. Then there are Mussorgsky's Songs and Dances of Death, performed by Ain Anger (bass) finally Beethoven's best-known work, the Symphony No 5 renowned for its power and exceptional lucidity. Olari Elts conducts.;http://www.sco.org.uk
2016-02-13T12:00:00;Scottish Chamber Orchestra: The Crocodiamond;Jonathan Dove's The Crocodiamond, with a story by Anthony Horowitz, tells the tale of some fiendish jewel thieves, a plucky young girl and a diamond that used to be in a crocodile's stomach. Ideal for ages 4--10.;http://www.sco.org.uk
2015-04-17T22:00:00;Full Spectrum;An audio-visual experience with light, sound and structure combining with top class DJs and live acts. Line-up includes Crazy P Soundsystem, Davie Miller and more.;http://sciencefestival.co.uk
2015-12-10T19:30:00;Scottish Chamber Orchestra: Generations of Bach;The Dunedin Consort's distinguished John Butt conducts music by two generations of Bachs: Johann Sebastian's Suite No 4 BWV 1069, his eldest son Wilhelm Friedemann's Sinfonia in D minor 'Adagio and Fugue' and his second son Carl Philipp Emanuel's Bassoon Concerto in A Minor. Mozart revered CPE Bach as a master, and he himself is represented here by his Symphony No 40.  ;http://www.sco.org.uk
2015-11-05T19:30:00;Scottish Chamber Orchestra: An Evening with Emmanuel Krivine ;Guest conductor Emmanuel Krivine presents some favourites, from Brahms's Variations on a Theme by Haydn through Wagner's Wesendonck Lieder featuring the peerless Karen Cargill, via the rapturous Siegfried Idyll, to Schubert's Symphony No 8 'Unfinished'.;http://www.sco.org.uk
2015-10-22T19:30:00;Scottish Chamber Orchestra: Handel's Theodora;Handel's favourite among his own oratorios, Theodora was a flop when it was first performed but it's always had its admirers, and is now increasingly ranked above the over-familiar Messiah. Richard Egarr conducts this tragic drama of Christian virtue, with a redoubtable cast: Stefanie True, Renata Pokupic, Iestyn Davies, Neal Davies, Samuel Boden, the SCO Chorus and its director Gregory Batsleer. ;http://www.sco.org.uk
